image_id,filename,lo_id,topic,description,keywords
IMG001,tangent_parabola_01.png,957,tangent line,"Tangent to y=x^2 at x=2 showing slope=4","tangent,slope,parabola,instantaneous rate"
IMG002,tangent_cubic_01.png,957,tangent line,"Tangent line to cubic function","tangent,cubic,slope"
IMG003,secant_to_tangent.png,957,tangent line,"Animation frame showing secant approaching tangent","secant,tangent,limit,slope"
IMG004,slope_at_point.png,957,tangent line,"Graph with marked point and slope calculation","slope,derivative,point"
IMG005,power_rule_x2.png,957,power rule,"y=x^2 with derivative 2x annotated","power rule,quadratic,derivative"
IMG006,power_rule_x3.png,957,power rule,"y=x^3 with derivative 3x^2 shown","power rule,cubic,derivative"
IMG007,power_rule_polynomial.png,957,power rule,"Polynomial with term-by-term derivatives","power rule,polynomial,terms"
IMG008,chain_rule_composite.png,957,chain rule,"Composite function f(g(x)) with inner/outer labeled","chain rule,composite,nested"
IMG009,chain_rule_example.png,957,chain rule,"sin(x^2) derivative worked example","chain rule,trig,composite"
IMG010,chain_rule_diagram.png,957,chain rule,"Flow diagram showing chain rule application","chain rule,diagram,steps"
IMG011,product_rule.png,957,product rule,"Product rule formula with f*g example","product rule,multiplication"
IMG012,quotient_rule.png,957,quotient rule,"Quotient rule formula with f/g example","quotient rule,division,fraction"
IMG013,critical_points_max.png,957,critical points,"Local maximum with f'(x)=0 marked","critical points,maximum,derivative zero"
IMG014,critical_points_min.png,957,critical points,"Local minimum with horizontal tangent","critical points,minimum,extrema"
IMG015,critical_points_saddle.png,957,critical points,"Saddle point where f'=0 but not extremum","critical points,saddle,inflection"
IMG016,concavity_up_down.png,957,concavity,"Graph showing concave up and concave down regions","concavity,second derivative,curvature"
IMG017,inflection_point.png,957,inflection,"Inflection point where concavity changes","inflection,concavity change,f''=0"
IMG018,second_derivative_test.png,957,concavity,"Second derivative test for max/min","second derivative,test,classification"
IMG019,velocity_acceleration.png,957,applications,"Position/velocity/acceleration relationship","applications,physics,motion"
IMG020,rate_of_change.png,957,applications,"Real-world rate of change problem","applications,rate,practical"
